State,1st_congress,65th_congress,66th_congress,67th_congress,68th_congress,69th_congress,70th_congress,71st_congress,72nd_congress,73rd_congress,74th_congress,75th_congress,76th_congress,77th_congress,78th_congress,79th_congress,80th_congress,81st_congress,82nd_congress,83rd_congress,84th_congress,85th_congress,86th_congress,87th_congress,88th_congress,89th_congress,90th_congress,91st_congress,92nd_congress,93rd_congress,94th_congress,95th_congress,96th_congress,97th_congress,98th_congress,99th_congress,100th_congress,101st_congress,102nd_congress,103rd_congress,104th_congress,105th_congress,106th_congress,107th_congress,108th_congress,109th_congress,110th_congress,111th_congress,112th_congress,113th_congress,114th_congress,115th_congress,116th_congress,Latitude,Longitude
AL,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,32.806671,-86.79113
AK,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,61.370716,-152.404419
AZ,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,3,3,4,33.729759,-111.431221
AR,,0,0,0,0,0,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,34.969704,-92.373123
CA,,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,3,3,3,1,4,9,10,15,15,19,20,21,23,23,22,20,21,19,20,36.116203,-119.681564
CO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,39.059811,-105.311104
CT,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,2,2,3,3,3,3,2,2,2,2,1,1,1,2,2,2,2,41.597782,-72.755371
DE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39.318523,-75.507141
FL,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,5,5,5,5,4,4,5,5,6,6,6,7,7,8,27.766279,-81.686783
GA,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,33.040619,-83.643074
